STCNTYBR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
5113,321705.0,317561.0,322164.0,322888.0,321790.0,323650.0,339735.0,353467.0,364722.0,366722.0,375149.0
5115,955220.0,938463.0,941584.0,995557.0,1037975.0,1050322.0,1061368.0,1126387.0,1163345.0,1113565.0,1142964.0
5117,100875.0,105216.0,109904.0,109817.0,115229.0,118005.0,109613.0,104192.0,108574.0,111057.0,117728.0
5119,9221084.0,9877146.0,9945691.0,10171369.0,10448535.0,10803397.0,12251099.0,14734632.0,15280952.0,15546984.0,18887679.0
5121,253861.0,257331.0,245683.0,221574.0,232665.0,237418.0,240641.0,285693.0,289636.0,296605.0,319566.0
5123,302127.0,320167.0,326773.0,321978.0,327636.0,340688.0,333975.0,343745.0,335530.0,343245.0,354598.0
5125,1021631.0,1086644.0,1131722.0,1166073.0,1184160.0,1189682.0,1228477.0,1248377.0,1303393.0,1400029.0,1461986.0
5127,183637.0,183463.0,182026.0,177633.0,170798.0,166734.0,166710.0,128694.0,128212.0,128621.0,137743.0
5129,104071.0,89141.0,103059.0,107948.0,104972.0,109593.0,126276.0,123208.0,117981.0,115558.0,121608.0
5131,2300373.0,2417335.0,2446289.0,2402970.0,2423273.0,2464980.0,2648623.0,2847804.0,2866014.0,2889251.0,3013188.0
5133,282630.0,293909.0,303110.0,307015.0,313054.0,327824.0,328732.0,336847.0,347674.0,371569.0,384751.0
5135,364323.0,366960.0,367735.0,365782.0,337772.0,335602.0,314396.0,308286.0,333100.0,334201.0,337398.0
5137,222643.0,261366.0,256270.0,260606.0,259498.0,277811.0,275226.0,299814.0,328262.0,338425.0,352877.0
5139,1116393.0,1168840.0,1165825.0,1158519.0,1155054.0,1222931.0,1186819.0,1183454.0,1178529.0,1187121.0,1213393.0
5141,263424.0,280446.0,283364.0,298201.0,277406.0,262161.0,271565.0,285875.0,277646.0,276171.0,278929.0
5143,3617191.0,3668851.0,3671759.0,3714285.0,3781247.0,4092491.0,4356430.0,4748255.0,4928235.0,5139741.0,5314824.0
5145,1261080.0,1296120.0,1390186.0,1411262.0,1425020.0,1387751.0,1439078.0,1429956.0,1534615.0,1555020.0,1519999.0
5147,116830.0,125836.0,126689.0,137751.0,144046.0,145529.0,149989.0,144426.0,156112.0,152963.0,144284.0
5149,394263.0,392293.0,378844.0,372269.0,353979.0,335469.0,363027.0,352738.0,372369.0,419568.0,363736.0
6001,29926713.0,30256518.0,30850060.0,31349449.0,33172180.0,35678048.0,39442690.0,42755072.0,46870863.0,49046891.0,51649823.0
6005,629265.0,619769.0,620252.0,601463.0,616767.0,638676.0,664516.0,696299.0,749380.0,774441.0,753635.0
6007,2908129.0,2887149.0,2906233.0,2925804.0,3074962.0,3197411.0,3423662.0,3717111.0,3930000.0,4133863.0,5656373.0
6009,442003.0,443991.0,443336.0,449959.0,450000.0,427878.0,450374.0,513614.0,527406.0,565418.0,558283.0
6011,308332.0,318715.0,337534.0,316590.0,350968.0,406925.0,458066.0,448092.0,476215.0,499778.0,497203.0
6013,24115644.0,26359280.0,27465359.0,27783626.0,34097282.0,33583306.0,34828701.0,42349390.0,46790547.0,51287271.0,52842118.0
6015,194338.0,180154.0,178932.0,184319.0,193997.0,186763.0,202352.0,341265.0,182796.0,191329.0,200546.0
6017,2176493.0,2180138.0,2262695.0,2186363.0,2290649.0,2441590.0,2631624.0,2874023.0,3039512.0,3150763.0,3179018.0
6019,9248942.0,9973052.0,10280091.0,10233322.0,11020018.0,11625014.0,12702740.0,13219447.0,13247352.0,13905254.0,14297587.0
6021,353970.0,363287.0,379290.0,357865.0,378228.0,430116.0,456712.0,437694.0,456872.0,479606.0,472900.0
6023,1441882.0,1529800.0,1555291.0,1553007.0,1580958.0,1630156.0,1794519.0,1665751.0,1753550.0,1808338.0,1881975.0
6025,1631817.0,1670539.0,1628643.0,1650987.0,1689813.0,1640064.0,1667129.0,1703504.0,1769664.0,1789736.0,1867424.0
6027,317353.0,318520.0,316403.0,318321.0,315861.0,362225.0,403024.0,421646.0,441775.0,453905.0,379771.0
6029,5561871.0,5869135.0,6425149.0,6408092.0,6804683.0,7304427.0,7769366.0,8109356.0,8634987.0,8960023.0,9319941.0
6031,989035.0,977442.0,1023264.0,1014413.0,1011479.0,1049165.0,1167355.0,1156720.0,1197473.0,1213595.0,1255622.0
6033,664547.0,625984.0,597707.0,596610.0,605472.0,616786.0,634336.0,755291.0,765707.0,745844.0,759274.0
6035,163506.0,153705.0,153895.0,161814.0,196515.0,198340.0,210692.0,206840.0,202883.0,161991.0,174678.0
6037,245374015.0,244229896.0,253231230.0,266063556.0,303128251.0,317290732.0,339911589.0,382370584.0,404474151.0,412995069.0,440167889.0
6039,945678.0,961340.0,951928.0,958964.0,1004964.0,1045668.0,1021605.0,1076369.0,1184823.0,1217676.0,1233082.0
6041,9196599.0,9389484.0,9713423.0,9605534.0,10051603.0,10589421.0,11528211.0,12117888.0,12720392.0,12939396.0,12558613.0
6043,118360.0,111618.0,109759.0,114453.0,118334.0,121469.0,129609.0,138667.0,146133.0,162517.0,156126.0
6045,1330954.0,1332696.0,1312773.0,1338725.0,1373114.0,1383408.0,1499533.0,1544876.0,1627631.0,1592555.0,1567330.0
6047,1644657.0,1703370.0,1759103.0,1647023.0,1710277.0,1889412.0,2035961.0,2108315.0,2363451.0,2355101.0,2321839.0
6049,119317.0,137792.0,129073.0,126681.0,97736.0,107701.0,115414.0,118543.0,121120.0,132620.0,126230.0
6051,126955.0,127781.0,125360.0,124151.0,132854.0,91344.0,105012.0,130080.0,139727.0,144511.0,165437.0
